Gene_Symbol,disease_association,essential_gene,loss_of_function_tolerance,loss_of_function_constraint,observed_expected_lof_ratio,rvis_score,gwas_associations,protein_protein_interactions,chemical_gene_interactions,drug_interaction_types,known_antibodies,antibody,antibody_availability,small_molecule,tractable_modalities,overall_therapeutic_potential,functional_characterization,protein_domains,protein_length,expression_tissue_specificity,expression_specificity,expression_broadly_expressed,alternative_splicing
TTI2,0.8,,0.0,,0.67,,,0.2,0.5,,0.75,,,,,,,0.6,0.5,,,,
TTK,,,0.0,,0.3,,,,0.7,0.9,0.8,,,,0.8,,,0.9,0.85,,,,0.5
TTL,,,,,,,,,,,,,,,,,,,,,,,
TTLL1,,,0.0,,0.46,,,0.75,0.6,,0.9,,,,0.7,0.65,0.85,,0.7,0.6,,,
TTLL10,,,0.0,,0.77,,,,0.8,,,,0.9,,,,,,0.5,,,,
TTLL11,0.7,,0.0,,,,0.8,,,,,,0.7,,,,0.9,,,,0.5,,
TTLL12,,,0.0,,,,0.5,,,,,,0.9,,0.7,,0.7,,,0.81,,,
TTLL2,,,0.9,,0.5,,,0.4,0.6,,0.8,,,,,,,,0.7,1.0,,,
TTLL3,,,0.0,,0.9,,,0.7,0.6,,0.9,,,,0.9,0.78,,,0.7,0.77,,,
TTLL4,,,0.0,,,,,,,,,,0.9,,,,0.8,,,0.7,,,
TTLL5,0.7,,0.0,,0.6,,,,,,,,0.9,,0.75,,0.85,,0.8,,0.92,,
TTLL6,0.6,,0.0,,0.8,,,,0.8,,,,0.9,,,,0.85,,0.7,,,,
TTLL7,,,0.9,,,,,0.5,0.6,,,,0.8,,0.6,,0.9,,,0.8,,,
TTLL8,,,0.0,,0.73,,,,0.6,,0.95,,,,,,0.9,,0.8,,,,
TTLL9,,,0.0,,0.95,0.77,,0.7,0.8,,0.9,,,,,,,,0.5,1.0,,,
TTN,,1.0,0.0,,0.31,,0.5,,0.75,,0.9,,,,0.7,0.75,,,,,,,
TTPA,0.8,,0.0,,0.55,,,,0.7,,0.9,,,,0.6,,0.85,,0.5,,,,
TTPAL,,,0.09,,0.31,0.71,,,0.8,,0.52,,,,0.9,,,,0.68,,,,
TTR,,,,0.55,0.15,,0.5,0.6,0.7,0.3,0.9,,,,,0.65,,,0.98,,,,
TTTY10,,,0.0,,0.0,,,,0.5,,,,,,,0.1,,,0.1,,,0.2,
TTTY12,,,0.0,,0.0,,,,0.5,,,,,,,,,,0.1,,,0.2,
TTTY13,,,0.0,,0.0,,,,0.5,,,,,,,,,,0.1,,,0.4,
TTYH1,,1.0,,1.0,0.8,,0.5,,0.6,,0.7,,,,0.7,,,,,0.9,,,
TTYH2,,,0.0,,0.41,,,,0.85,,0.95,,,,0.9,0.7,,,0.5,,,,
TTYH3,,,,1.0,0.07,,,,0.75,,0.85,,,,0.8,0.82,,,0.8,0.76,,,
TUB,0.7,,0.0,,,,,,,,,,0.8,,0.9,,0.9,,,,0.77,,
TUBA1A,0.9,,,0.97,0.07,0.85,,0.5,0.6,0.8,0.7,,,,0.8,0.78,,,0.75,0.82,,,
TUBA1B,,,,,,,,,,,,,,,,,,,,,,,
TUBA1C,,,0.9,,,,0.7,0.6,0.75,0.8,0.85,,,,0.7,0.75,0.8,,,0.9,,,
TUBA3C,,,,,,,,,,,,,,,,,,,,,,,
TUBA3E,,,,,,,,,,,,,,,,,,,,,,,
TUBA4A,0.5,,0.15,,0.28,0.29,,0.5,0.6,0.85,0.75,,,,0.8,,,,0.89,,,,
TUBA4B,,,0.0,,0.0,,,,0.8,,,,,,0.7,,,,0.5,,,,
TUBA8,0.85,,0.0,,,,0.8,,,,,,0.9,,0.6,0.75,0.9,,,,0.97,,
TUBAL3,,,0.0,,0.94,,,0.75,0.8,,0.9,,,,0.6,0.75,,,0.7,,,,
TUBB,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
TUBB1,,,,,,,,,,,,,,,,,,,,,,,
TUBB2A,,,,,,,,,,,,,,,,,,,,,,,
TUBB2B,0.9,,,1.0,0.0,,,0.6,0.7,0.85,0.75,,,,0.8,,,,0.8,0.87,,,
TUBB3,0.8,1.0,0.0,,0.78,,,0.7,0.85,0.9,0.9,,,,0.75,,,,,,,,
TUBB4A,0.8,,0.3,,,,,,,,,,0.9,,0.75,0.75,,,,,0.9,,
TUBB4B,0.8,,,0.84,0.14,0.83,,,0.76,0.85,0.75,,,,0.8,,0.9,,0.89,0.89,,,
TUBB6,,,,,,,,,,,,,,,,,,,,,,,
TUBB8,0.7,,0.8,,,,,,,,,,0.9,,0.8,0.75,0.9,,,,,,
TUBD1,,,0.0,,,,0.8,,,,,,0.9,,0.75,0.7,0.85,,,,0.6,,
TUBE1,,,0.8,,,,,,,,,,,,,,,,,,0.7,,
TUBG1,0.8,0.9,0.2,,,,,,,,,,0.7,,0.7,,,,,,,,
TUBG2,,,,,,,,,,,,,,,,,,,,,,,
TUBGCP2,,,0.0,,,,0.7,0.5,0.6,,0.9,,,,0.6,,0.8,,,,,0.7,
TUBGCP3,,,,,,,,,,,,,,,,,,,,,,,
TUBGCP4,0.7,,0.0,,0.49,,,0.5,0.8,,0.9,,,,0.6,,,,0.6,,,0.7,
TUBGCP5,,,,,,,,,,,,,,,,,,,,,,,
TUBGCP6,0.8,,0.0,,0.74,,,,0.75,,0.9,,,,0.7,,,,0.5,0.65,,,
TUFM,,,0.0,,,,0.8,0.5,0.6,,,,0.7,,0.6,0.7,0.8,,,,,0.7,
TUFT1,,,0.0,,0.42,,,0.6,0.86,,0.94,,,,0.8,,,,0.5,0.97,,,
TULP1,0.9,,0.0,,0.37,,,,0.6,,0.7,,,,0.75,,,,0.8,0.91,,,
TULP2,,,0.0,,0.84,,,0.65,0.5,,0.74,,,,0.8,0.65,,,0.5,1.0,,,
TULP3,,1.0,0.0,,0.56,,,0.85,0.9,,0.8,,,,0.75,0.7,,,0.5,0.71,,,
TULP4,,,,1.0,0.9,,0.8,,0.6,,0.7,,,,0.8,,,0.8,,,,0.6,
TUSC1,,,0.04,,0.72,,0.1,,0.7,,0.8,,,,0.5,,,0.6,0.5,,,,
TUSC2,,,,0.71,0.0,,,0.7,0.6,,0.9,,,,0.8,,,,0.1,,,0.5,
TUSC3,0.8,,0.0,,,,,,,,,,0.9,,0.8,0.75,0.8,,,,0.7,,
TUT1,,,0.0,,0.59,,,,0.6,,0.8,,,,0.7,,,,0.5,,,,
TVP23A,,,0.0,,0.7,,,0.2,0.5,,,,0.6,,0.9,,,,0.5,,,,
TVP23B,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
TVP23C,,,0.0,,0.7,,,,0.6,,0.9,,,,0.7,,,,0.5,,,,
TWF1,,,0.0,,0.47,,,0.4,0.8,,0.9,,,,0.7,,,,0.7,,,0.5,
TWF2,,,,0.98,0.1,,,0.7,0.8,,0.9,,,,0.6,0.78,,,0.75,,,0.5,
TWIST1,,1.0,0.36,,0.22,,0.5,,0.7,,0.9,,,,,0.75,,0.8,,0.94,,,
TWIST2,,0.8,,0.6,0.0,,0.5,0.6,0.7,,0.9,,,,0.8,,,,0.5,0.9,,,
TWNK,0.8,,0.0,,,,,0.5,,,,,0.9,,,,0.85,,,,0.73,,
TWSG1,,0.8,0.9,,,,,,,,,,0.9,,0.8,0.75,,,0.6,,,,
TXK,,,0.0,,,,0.8,,0.6,0.7,0.9,,,,0.8,,,,,,0.97,,
TXLNA,,,,1.0,0.8,,,0.85,0.8,,0.9,,,,0.9,,,,0.7,,,,
TXLNB,,,0.0,,0.8,,0.6,0.6,0.5,,0.8,,,,0.9,,,,0.7,,,,
TXLNG,,,,1.0,0.0,0.9,0.5,,0.7,,0.8,,,,0.9,,,,,0.6,,,0.6
TXLNGY,,,0.0,,0.0,,,,0.7,,,,,,,,,0.6,0.5,,,0.8,
TXN,,,,,,,,,,,,0.8,,0.5,,,,,,,,,
TXN2,0.5,1.0,0.0,,0.98,,,0.2,0.7,,,,0.9,,,,,,0.6,,,0.7,
TXNDC11,,,0.0,,,,0.8,0.6,0.7,,,,0.9,,0.8,0.65,,,0.5,,0.62,,
TXNDC12,,,0.0,,0.73,,,0.7,0.8,,0.9,,,,0.7,,,0.8,0.5,,,0.6,
TXNDC15,,,0.9,,0.4,,,0.7,0.6,,0.8,,,,0.9,,,,0.5,,,0.6,
TXNDC16,,,0.0,,0.42,,,0.5,0.67,,0.54,,,,0.9,0.65,,,0.75,,,0.6,
TXNDC17,,,0.04,,0.46,,,,0.8,,0.59,,,,0.9,,,0.9,0.12,0.76,,,
TXNDC2,,,,0.6,0.0,,,,0.7,,0.9,,,,,,,,0.8,1.0,,,
TXNDC5,,,0.0,,,,0.5,0.7,0.8,,,,0.9,,0.7,0.7,,,,,0.8,,0.6
TXNDC8,,,0.16,,0.33,0.84,,0.5,0.4,,0.85,,,,,,,,0.13,1.0,,,
TXNDC9,,,0.39,,0.22,0.8481,,0.12,0.5,,0.91,,,,0.7,,,,0.226,,,0.5,
TXNIP,,,,,,,,,,,,0.8,,,,,,,,,,,
TXNL1,,,,,,,,,,,,,,,,,,,,,,,
TXNL4A,0.8,,0.0,,,,,,,,,,,,,,,,,,,,0.4
TXNL4B,,,0.0,,,,0.6,0.5,0.7,,,,0.8,,0.7,0.6,0.8,,,,,,
TXNRD1,,1.0,0.0,,0.55,,,,0.8,0.5,0.9,,,,0.7,,,0.8,0.7,0.95,,,
TXNRD2,,,,,,,,,,,,,,,,,,,,,,,
TXNRD3,,,1.0,,1.0,,,,0.9,,,,,,0.8,,,,0.5,0.81,,,0.7
TYK2,,,0.0,,0.36,,0.28,0.5,0.54,0.87,0.75,,,,0.8,,,0.9,,0.65,,,
TYMP,,,0.0,,0.57,,0.9,,0.5,0.6,0.7,,,,0.7,,,,0.5,0.87,,,
TYMS,,,,0.76,0.17,,0.67,,0.92,0.88,0.85,,,,,0.82,,,0.78,0.99,,,
TYMSOS,,,0.0,,0.0,,,,0.6,,,,,,,,,,0.5,,,,
TYR,,0.9,0.0,,0.5,,0.7,,0.6,0.6,0.7,,,,0.7,,,,,1.0,,,
TYRO3,,,,,,,,,,,,,,,,,,,,,,,
TYROBP,0.8,,,0.52,0.16,,,0.75,0.85,,,,0.9,,,,,,0.11,,0.99,,
TYRP1,,0.9,0.0,,0.7,,0.8,,0.7,,0.6,,,,0.8,,,,,1.0,,,
TYSND1,,,0.0,,0.53,,,0.6,0.7,,0.9,,,,0.7,,0.85,,0.8,0.76,,,
TYW1,,,0.0,,0.53,,,,0.6,,0.9,,,,0.8,,,,0.7,,,0.7,0.5
TYW1B,,,0.0,,0.5,,0.6,,0.7,,,,,,0.5,,,,0.5,,,0.8,
TYW3,,,0.0,,0.55,,0.1,0.6,0.7,,0.8,,,,0.8,,,,0.5,,,0.6,
TYW5,,,0.0,,0.84,,,0.2,0.7,,0.9,,,,0.6,,,,0.5,,,0.6,
U2AF1,,,,1.0,1.0,,,,0.9,,,,,,0.8,,,0.9,0.8,,,0.7,
U2AF1L4,,,0.0,,0.96,0.85,,,0.7,,0.9,,,,0.8,,,,0.5,,,,
U2AF2,,,,1.0,0.0,,,0.7,0.6,,0.7,,,,0.9,0.85,,,0.8,,,0.5,
U2SURP,,,,1.0,0.9,,,0.5,0.6,,0.7,,,,0.7,,,0.8,0.8,0.65,,,
UACA,,,0.0,,0.75,,,,0.8,,0.9,,,,0.7,0.75,,,0.7,0.84,,,
UAP1,,,,,,,,,,,,0.9,,0.7,,,,,,,,,
UAP1L1,,,0.0,,0.65,,,,0.8,,0.7,,,,0.9,,,,0.5,,,,
UBA1,0.7,,,1.0,0.02,,,,0.8,,,,0.9,,0.8,0.85,,,0.8,,,,
UBA2,,,,1.0,0.03,,,0.5,0.6,,0.8,,,,0.7,,0.9,,0.7,0.6,,,
UBA3,,1.0,,0.81,0.19,,,0.1,0.95,0.5,0.9,,,,0.8,,,,0.75,,,0.6,
UBA5,0.5,1.0,0.0,,0.41,,,0.7,0.8,,,,0.9,,0.7,0.65,0.9,,0.8,,,0.6,
UBA52,,,,,,,,,,,,,,,,,,,,,,,
UBA6,,,,,,,,,,,,,,,,,,,,,,,
UBA7,,,0.0,,,,0.5,0.6,0.8,,,,0.9,,0.7,0.7,,,,0.7,,,
UBAC1,0.6,,0.0,,0.41,,,0.6,0.7,,0.9,,,,0.7,,,,0.8,,,0.5,
UBAC2,,,0.0,,0.39,0.8,0.7,0.6,0.5,,0.6,,,,0.7,,,,0.5,,,0.5,
UBALD1,,,,0.8,0.0,,,,0.6,,0.6,,,,,0.65,,,0.5,,,0.52,
UBALD2,,,,,,,,,,,,,,,,,,,,,,,
UBAP1,,,,,,,,,,,,0.9,,,,,,,,,,,
UBAP1L,,,0.0,,0.0,,,,0.6,,0.6,,,,,,,,0.5,,,,
UBAP2,0.5,,0.0,,0.35,,,,0.6,,0.7,,,,0.7,0.7,,,0.8,0.64,,,0.6
UBAP2L,,,,1.0,0.9,0.8,,,0.7,,0.6,,,,0.6,,,,0.7,,,0.5,
UBASH3A,,,0.0,,0.65,0.8,0.9,,0.5,,0.7,,,,0.6,0.75,,0.7,0.6,0.97,,,
UBASH3B,,,,,,,,,,,,,,,,,,,,,,,
UBB,,,,,,,,,,,,0.9,,0.7,,,,,,,,,
UBC,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
UBD,,,0.01,,0.97,,0.4,0.6,0.7,,0.9,,,,0.5,,,,0.82,0.93,,,
UBE2A,,,,,,,,,,,,1.0,,0.5,,,,,,,,,
UBE2B,,,0.17,,0.29,0.54,,0.5,0.6,,0.67,,,,0.75,0.65,,,0.76,,,0.46,
UBE2C,,,,,,,,,,,,0.8,,,,,,,,,,,
UBE2D1,,,0.12,,0.32,,0.1,0.6,0.8,,0.9,,,,,0.65,,,0.73,,,0.5,
UBE2D2,,,,,,,,,,,,0.8,,,,,,,,,,,
UBE2D3,,,0.36,,0.23,,,0.14,0.77,,0.92,,,,,0.7,,,0.73,,,0.48,
UBE2D4,,,,,,,,,,,,0.8,,,,,,,,,,,
UBE2DNL,,,0.0,,0.0,,,,0.5,,,,,,,0.1,,,0.1,,,0.2,
UBE2E1,,,,,,,,,,,,,,,,,,,,,,,
UBE2E2,,,,0.96,0.0,,0.9,0.6,0.75,,0.8,,,,0.8,0.75,,,0.201,,,0.59,
UBE2E3,,,0.44,,0.21,,0.8,0.65,0.7,,0.9,,,,0.75,,,,0.87,,,0.49,0.6
UBE2F,,,,0.93,0.08,0.41,,,0.8,,,,0.9,,0.6,,,,0.5,,,0.46,
UBE2G1,,,,0.96,0.0,,,,0.7,,0.9,,,,0.7,,,,0.85,,,0.56,
UBE2G2,,,0.11,,0.33,0.4288,,,0.15,,0.54,,,,0.7,0.6,,,0.165,,,0.48,
UBE2H,,,,,,,,,,,,,,,,,,,,,,,
UBE2I,,,,,,,,,,,,,,,,,,,,,,,
UBE2J1,,,,0.8,0.16,,,0.2,0.7,,0.9,,,,,,,,0.5,,,,
UBE2J2,,,,,,,,,,,,0.8,,,,,,,,,,,
UBE2K,,,,,,,,,,,,,,,,,,,,,,,
UBE2L3,,,,,,,,,,,,,,,,,,,,,,,
UBE2L6,,,,,,,,,,,,,,,,,,,,,,,
UBE2M,,,,,,,,,,,,,,,,,,,,,,,
UBE2N,,,,,,,,,,,,,,0.8,,,,,,,,,
UBE2NL,,,0.8,,0.4,,,,0.7,,,,,,,,,,0.5,,,0.3,
UBE2O,,,,1.0,0.94,0.85,0.8,0.6,0.7,,0.9,,,,0.8,,,,,,,0.5,
UBE2Q1,,,,1.0,0.04,,,,0.6,,0.7,,,,0.8,,,,0.8,,,0.5,
UBE2Q2,,,0.0,,0.63,,0.6,0.5,0.9,,0.8,,,,0.8,,,,0.75,,,0.56,
UBE2QL1,,,0.0,,0.0,,,,0.8,,,,,,0.8,0.6,,,0.5,,,,
UBE2R2,,,,,,,,,,,,,,0.6,,,,,,,,,
UBE2S,,,,,,,,,,,,0.8,,0.65,,,,,,,,,
UBE2T,0.8,,0.0,,,,,0.6,,,,,,,,0.75,,,,,0.96,,
UBE2U,,,0.0,,0.82,,,0.4,0.8,,0.9,,,,0.6,,,,0.5,,,,
UBE2V1,,,0.0,,0.73,0.64,,,0.8,,0.9,,,,0.5,0.65,,,0.5,,,0.47,
UBE2V2,,,0.8,,0.5,,,0.2,0.7,,0.9,,,,0.8,,,,0.5,,,0.6,
UBE2W,,,0.32,,0.24,0.62,,0.8,0.7,,0.85,,,,0.75,,,,0.75,,,0.48,
UBE2Z,,,,0.9,0.8,,,,0.8,,0.9,,,,0.85,,,,0.7,,,0.7,
UBE3A,,1.0,,1.0,0.8,,0.6,0.5,0.7,,0.9,,,,,,,,,,,0.6,
UBE3B,0.5,,0.0,,0.38,,,,0.7,,,,0.9,,0.9,,,,0.8,,,0.6,
UBE3C,,,,1.0,0.09,,,,0.85,,0.9,,,,0.9,,,,0.7,,,0.6,
UBE3D,,,0.0,,0.61,,0.6,0.7,0.8,,0.7,,,,0.8,,,,0.5,,,0.5,
UBE4A,0.8,,0.3,,0.24,0.7,,,0.7,,0.8,,,,0.5,,,0.9,0.6,,,,
UBE4B,,1.0,,1.0,0.8,,0.6,,0.5,,0.7,,,,0.8,,,0.9,0.8,,,0.6,0.7
UBFD1,,,,0.94,0.07,,,,0.7,,0.8,,,,0.9,,,0.9,0.5,,,0.6,
UBIAD1,0.7,,0.8,,,,,,,,,,0.9,,0.85,,0.9,,,,,,
UBL3,,,,0.74,0.12,,,0.4,0.7,,0.87,,,,0.8,,,0.8,0.11,,,0.56,
UBL4A,,,0.31,,0.25,0.49,,0.4,0.9,,1.0,,,,0.7,0.65,,,0.78,,,0.48,
UBL4B,,,0.7,,0.8,,,0.6,0.7,,,,0.9,,,,0.8,,0.5,,1.0,,
UBL5,,,0.8,,0.7,,,,0.7,,0.9,,,,0.75,0.78,,,0.5,,,0.6,
UBL7,,,0.8,,0.6,,,0.6,0.7,,,,0.9,,0.8,,,,0.5,,,0.7,
UBLCP1,,,0.09,,0.29,0.35,0.8,,0.7,,0.9,,,,0.7,,0.85,,0.64,,,,
UBN1,,,,1.0,0.9,,,,0.8,,0.9,,,,0.7,,,,0.7,,,,
UBN2,,,,1.0,0.9,,,,0.5,,0.7,,,,0.9,,,,0.6,,,,
UBOX5,,,0.0,,0.48,,,,0.8,,0.9,,,,0.6,,,0.7,0.5,,,0.6,0.7
UBP1,,1.0,,1.0,0.0,,,,0.6,,,,0.8,,0.7,,,,0.7,,,0.7,
UBQLN1,,,,1.0,0.93,,,,0.8,,0.9,,,,,,,,0.5,,,,
UBQLN2,,,,,,,,,,,,0.8,,,,,,,,,,,
UBQLN3,,,0.0,,0.59,,,,0.8,,0.9,,,,0.5,,,,0.5,,,,
UBQLN4,,,,0.98,0.12,,,,0.73,,,,0.74,,0.9,0.78,,,0.601,,,0.48,
UBQLNL,,,0.0,,0.5,,,,0.6,,0.8,,,,,0.7,,,0.7,1.0,,,
UBR1,,,0.9,,,,0.7,,0.8,,,,0.9,,0.6,0.75,0.9,,,,,,
UBR2,,1.0,,1.0,0.87,,,0.7,0.8,,0.9,,,,,,,,0.8,,,,
UBR3,,1.0,,1.0,0.94,,,,0.6,,0.7,,,,0.7,0.8,,,0.8,,,0.5,
UBR4,,1.0,,1.0,0.94,,,,0.85,,,,0.76,,,,,,0.8,,,,
UBR5,,1.0,,1.0,0.03,,0.5,,0.7,,0.8,,,,,,,,,0.68,,,
UBR7,0.8,,,0.6,0.21,,,,0.6,,0.7,,,,0.7,,,,0.5,,,0.6,
UBTD1,,,,0.76,0.11,,,0.6,0.75,,0.85,,,,0.7,,,,0.45,,,,
UBTD2,,,0.2,,0.3,,,0.5,0.6,,0.8,,,,0.8,,,,0.45,,,,
UBTF,,,,1.0,0.0,0.9,0.5,,0.7,,0.6,,,,0.8,,,,0.7,,,0.6,
UBTFL1,,,0.0,,0.0,,,,0.6,,0.8,,,,0.7,,,,0.5,1.0,,,
UBTFL6,,,0.0,,0.0,,,,,,,,,,,0.4,,,0.5,,,0.8,
UBXN1,,,,0.73,0.17,,,0.8,0.93,,,,1.0,,0.75,0.82,,,0.85,,,0.49,
UBXN10,,,0.9,,,,,,0.7,,0.6,,,,,,0.75,,0.5,,,,
UBXN11,,,,,,,,,,,,0.9,,,,,,,,,,,
UBXN2A,,,0.0,,,,0.8,0.6,0.7,,,,0.9,,0.9,0.65,,,,,,0.5,
UBXN2B,,,0.1,,0.3,,0.8,0.7,0.75,,0.9,,,,0.6,,,,0.5,,,0.5,
UBXN4,,,0.14,,0.26,,,0.75,0.86,,0.98,,,,0.8,,,,0.51,,,,
UBXN6,,,0.0,,,,0.5,0.6,0.7,,,,0.9,,0.8,0.65,,,,,,0.6,
UBXN7,,,,1.0,0.0,,,,0.6,,0.8,,,,0.75,,,0.9,0.7,,,,
UBXN8,,,,,,,,,,,,,,,,,,,,,,,
UCHL1,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
UCHL3,,,0.0,,0.7,,,0.6,0.8,0.5,0.9,,,,0.75,,,,0.5,,,0.7,
UCHL5,0.6,0.8,0.9,,,,,0.85,0.8,,,,0.9,,0.75,,0.9,,0.7,,,0.7,
UCK1,,,,,,,,,,,,,,,,,,,,,,,
UCK2,,,,,,,,,,,,,,,,,,,,,,,
UCKL1,,,0.0,,0.9,,,,0.8,,0.9,,,,,0.7,,0.6,0.7,0.64,,,
UCMA,,,0.0,,0.91,,0.5,,0.6,,0.8,,,,0.8,0.65,,,0.5,0.99,,,
UCN,,,,,,,,,,,,,,,,,,,,,,,
UCN2,,,0.04,,0.73,,,,0.67,,0.89,,,,0.8,,,,0.11,,,,
UCN3,0.85,,0.8,,0.7,,,0.7,0.8,,0.9,,,,0.75,,,,0.5,,,,
UCP1,,,0.0,,0.5,,,0.2,0.8,,0.9,,,,,,,,0.5,,,,
UCP2,0.8,,0.0,,0.5,,,0.7,0.8,,,,0.9,,,0.75,,,0.6,,,,
UCP3,0.7,,0.0,,0.5,,,,0.9,,0.8,,,,0.8,,,,0.6,1.0,,,
UEVLD,,,0.0,,0.51,,,,0.6,,0.9,,,,0.8,,,0.8,0.7,,,0.5,
UFC1,0.8,,0.0,,0.46,,,,0.8,,,,0.9,,0.7,,0.9,,0.5,,,,
UFD1,0.8,,1.0,,1.0,,,0.6,0.7,,0.9,,,,0.9,,,,0.8,,,0.5,0.7
UFL1,,,,,,,,,,,,,,,,,,,,,,,
UFM1,,,,,,,,,,,,,,,,,,,,,,,
UFSP1,,,0.7,,,,0.8,,,,,,0.9,,,,,,0.4,,,,
UFSP2,0.8,,0.0,,0.53,,,,0.7,,0.9,,,,0.6,,0.85,,0.5,,,0.6,0.5
UGCG,,,,,,,,,,,,1.0,,0.7,,,,,,,,,
UGDH,0.8,1.0,0.0,,0.41,,,,0.75,,,,0.9,,0.6,,,,,,0.78,,
UGGT1,,,0.9,,0.6,,,,0.7,,0.8,,,,0.9,,,,0.5,,,0.6,
UGGT2,,,0.0,,0.84,,0.1,0.5,0.8,,0.9,,,,0.7,,,,0.75,0.73,,,
UGP2,0.5,,0.0,,0.72,,,0.4,0.6,,0.8,,,,0.8,,,,0.5,,,0.7,
UGT1A1,,,0.0,,0.65,,0.9,,0.75,,0.6,,,,,,,,0.7,0.97,,,
UGT1A10,,,0.0,,,,0.8,0.75,0.85,,,,0.9,,,0.8,,,,1.0,,,
UGT1A3,,,0.0,,0.87,,,,0.85,,0.9,,,,0.75,,,,0.5,,,0.0,
UGT1A4,,,0.0,,0.71,,,0.2,0.8,,0.9,,,,0.7,,,,0.5,1.0,,,
UGT1A5,,,0.0,,,,0.6,,,,,,0.9,,0.8,,,,,,,,
UGT1A6,,,0.0,,,,0.8,,,,,,0.9,,0.75,,,,,,0.94,,
UGT1A7,,,0.0,,,,0.8,,0.85,,,,0.9,,,,,,,,1.0,,
UGT1A8,,,0.0,,0.87,,0.2,,0.9,,0.5,,,,,,,,0.5,,,0.0,
UGT1A9,,,0.0,,0.71,0.8,0.5,0.6,0.7,,0.9,,,,,,,,0.5,,,0.4,
UGT2A2,,,0.0,,0.5,,,,0.6,,0.8,,,,0.8,,,,0.7,,,,
UGT2A3,,,0.0,,0.5,,,0.5,0.6,,0.9,,,,0.8,,,,0.7,0.97,,,
UGT2B10,,,0.0,,,,0.8,,,,,,0.9,,0.6,0.7,0.8,,,,1.0,,
UGT2B11,,,0.0,,0.5,,,,0.6,,0.7,,,,0.7,,,,0.8,,,,
UGT2B15,,,0.0,,0.5,0.9,0.3,,0.6,,0.8,,,,0.7,,,,0.7,1.0,,,
UGT2B17,,,0.0,,0.64,0.96,0.5,,0.85,,0.9,,,,0.8,,,,0.8,1.0,,,
UGT2B28,,,0.0,,0.5,,,,0.7,,0.9,,,,0.8,,,,0.8,1.0,,,
UGT2B4,,,0.0,,0.81,,,,0.85,,0.9,,,,0.8,,,,0.5,1.0,,,
UGT2B7,,,0.0,,0.5,,0.3,,0.7,,0.9,,,,0.8,,,,0.6,1.0,,,
UGT3A1,,,0.0,,0.99,0.72,0.4,,0.6,,0.7,,,,0.9,,,,0.5,,,,
UGT3A2,,,,,,,,,,,,0.8,,,,,,,,,,,
UGT8,,,0.8,,,,0.7,,0.85,,,,0.9,,0.75,0.82,,,,,1.0,,
UHMK1,,,,,,,,,,,,,,,,,,,,,,,
UHRF1,0.85,,,,,,,,,,,,,,,,,,,,,,
UHRF2,,,,1.0,0.89,,,,0.6,,0.9,,,,0.7,,,,0.7,,,,
UIMC1,,,0.0,,0.46,,0.7,0.5,0.6,,0.9,,,,0.8,,,,0.8,0.66,,,
ULBP1,,,0.0,,0.91,,,0.6,0.8,,0.9,,,,0.8,,,,0.5,0.96,,,
ULBP2,,,,,,,,,,,,,,,,,,,,,,,
ULBP3,,,0.0,,0.6,0.85,0.1,,0.8,,0.9,,,,0.8,,,,0.5,1.0,,,
ULK1,,,,0.99,0.16,,,0.6,0.8,0.5,0.9,,,,0.8,0.85,0.9,0.75,0.85,,,,
ULK2,,,,,,,,,,,,0.8,,0.7,,,,,,,,,
ULK3,,,0.04,,0.28,,0.5,0.6,0.75,0.5,0.9,,,,0.8,,,,0.472,,,,
ULK4,0.75,,0.0,,,,0.8,0.5,0.7,,,,0.9,,,,0.8,,,,0.96,,
UMAD1,,,0.0,,0.0,,,,0.6,,,,,,0.8,,,,0.5,,,0.2,
UMOD,0.8,,0.0,,,,,,,,,,0.9,,,,,,0.5,,,,0.6
UMODL1,,,0.0,,0.91,,,,0.7,,0.9,,,,0.9,,,,0.8,,,,
UMODL1-AS1,,,0.0,,0.0,,,,0.7,,,,,,,0.3,,,0.5,,,0.8,
UMPS,,,0.0,,0.53,,0.8,0.5,0.6,,0.7,,,,0.8,,,,0.6,0.68,,,
UNC119,0.8,,0.0,,0.6,,,0.7,0.6,,0.7,,,,,,,,0.5,,,0.5,
UNC119B,,,,,,,,,,,,,,,,,,,,,,,
UNC13A,,,,,,,,,,,,0.7,,,,,,,,,,,
UNC13B,,,,,,,,,,,,0.8,,,,,,,,,,,
UNC13C,,,,,,,,,,,,0.8,,,,,,,,,,,
UNC13D,0.7,,0.0,,0.6,,,,0.8,,0.9,,,,0.75,,,0.7,0.8,0.91,,,
UNC45A,,,0.0,,0.52,,,0.5,0.6,,0.9,,,,0.9,0.7,,,0.8,,,,
UNC45B,0.8,0.9,0.0,,0.67,,,,,,,,0.9,,,,,,0.5,0.99,,,
UNC50,,,0.0,,0.56,,,,0.6,,0.76,,,,0.8,,,,0.5,,,0.49,
UNC5A,,,,,,,,,,,,0.8,,,,,,,,,,,
UNC5B,,0.8,0.0,,,,,0.2,0.75,,,,0.9,,0.9,,,,0.5,,,,
UNC5C,,1.0,0.0,,,,0.4,0.2,0.6,,0.8,,,,0.5,,,,0.5,,,,
